Date,Open,High,Low,Close,Adj Close,Volume
17-11-2017,1374.050049,1374.050049,1351.800049,1353.650024,1255.858765,1325464
20-11-2017,1357.5,1363.449951,1347.650024,1351.724976,1254.072388,1014498
21-11-2017,1350.5,1350.5,1333,1336.474976,1239.924194,1527740
22-11-2017,1336.5,1354.849976,1336.199951,1340.324951,1243.496094,1822624
23-11-2017,1340.5,1346.5,1334.5,1340.625,1243.774536,793470
24-11-2017,1341,1351.449951,1336.550049,1344.025024,1246.928833,2287512
27-11-2017,1344,1347.949951,1331.099976,1342.925049,1245.908447,1856786
28-11-2017,1343,1351.199951,1335,1342.650024,1245.653198,911716
29-11-2017,1338.75,1346.5,1325,1329.074951,1233.058716,1447532
30-11-2017,1326.824951,1333.474976,1311.5,1318.5,1223.247925,4299962
01-12-2017,1317.5,1334,1310.75,1314.974976,1219.977539,1031144
04-12-2017,1311,1329.25,1301.474976,1316.175049,1221.09082,1259104
05-12-2017,1315.5,1325.849976,1314.074951,1317.775024,1222.575195,1167914
06-12-2017,1318,1322.5,1306.425049,1316.650024,1221.531494,1407518
07-12-2017,1316.150024,1322.974976,1307.5,1308.625,1214.086426,1326300
08-12-2017,1309,1322.5,1298.5,1300.75,1206.780151,1385548
11-12-2017,1304.175049,1336.324951,1304.175049,1330.550049,1234.42749,1008002
12-12-2017,1330.5,1331,1303.699951,1306.074951,1211.720459,1882246
13-12-2017,1305.699951,1325.724976,1300.5,1314.199951,1219.258423,2961458
14-12-2017,1316,1316,1265.550049,1278.900024,1186.508789,5504150
15-12-2017,1281.875,1292.224976,1268.425049,1272.800049,1180.849365,2718138
18-12-2017,1268.5,1294.474976,1247.175049,1290.25,1197.038818,2180664
19-12-2017,1288,1298.900024,1282.349976,1287.650024,1194.626465,1801952
20-12-2017,1291,1296.375,1275.324951,1294.474976,1200.958374,1577570
21-12-2017,1293.5,1304,1290.025024,1297.849976,1204.0896,1293648
22-12-2017,1302,1331.949951,1295.099976,1323.375,1227.770752,3665664
26-12-2017,1343,1344.875,1315.800049,1324.724976,1229.023071,2175786
27-12-2017,1324.724976,1329.25,1305.25,1309.949951,1215.315552,739284
28-12-2017,1304.400024,1326.75,1302.824951,1313.474976,1218.585815,2605088
29-12-2017,1311.550049,1354.449951,1309.275024,1350.599976,1253.028809,2609542
01-01-2018,1341.150024,1347.400024,1317.5,1322.800049,1227.237305,1351760
02-01-2018,1330,1334.800049,1310.099976,1315.599976,1220.557251,1920290
03-01-2018,1316,1334.5,1315.599976,1319.324951,1224.013428,1257120
04-01-2018,1325,1331,1320,1328.550049,1232.571777,913082
05-01-2018,1325,1349.75,1325,1344.599976,1247.462158,1153706
08-01-2018,1350,1363.425049,1340.925049,1357.199951,1259.151978,1242220
09-01-2018,1357.5,1360.5,1338.275024,1354.5,1256.647217,2149396
10-01-2018,1355.5,1408,1347.324951,1403.300049,1301.921631,3365850
11-01-2018,1405,1410.949951,1391.099976,1395.25,1294.453003,2520744
12-01-2018,1402.5,1402.5,1370.275024,1388.175049,1287.889038,3360314
15-01-2018,1388.574951,1404,1367.525024,1373.050049,1273.857178,1457214
16-01-2018,1378,1430.824951,1375.275024,1425.425049,1322.448486,4267752
17-01-2018,1435,1462.5,1431.074951,1444.474976,1340.122192,4280806
18-01-2018,1448.5,1466.5,1434.025024,1459.099976,1353.690674,2209478
19-01-2018,1465.275024,1491,1451.824951,1479.650024,1372.756104,1820000
22-01-2018,1480.5,1567.349976,1461,1558.199951,1449.058594,4367110
